 pos, t (mm), A (m2),W_singleplate (kg), NO., Weight (kg),,,,,,,,,,,,
1,20,19.5,3061.5,8,24492,,,,,,,,,,,,
2,25,4.34,851.725,8,6813.8,,,,,,,,,,,,
3,25,5.7,1118.625,8,8949,,,,,,,,,,,,
4,10,0.45,35.325,144,5086.8,,,,,,,,,,,,
5,10,0.45,35.325,128,4521.6,,,,,,,,,,,,
6,20,27,4239,24,101736,,,,,,,,,,,,
7,25,6,1177.5,52,61230,,,,,,,,,,,,
8,25,7.9,1550.375,52,80619.5,,,,,,,,,,,,
9,20,33,5181,8,41448,,,,,,,,,,,,
10,30,8,1884,16,30144,,,,,,,,,,,,
11,10,0.55,43.175,96,4144.8,,,,,,,,,,,,
12,10,0.55,43.175,64,2763.2,,,,,,,,,,,,
13,20,33,5181,8,41448,,,,,,,,,,,,
14,25,5.34,1047.975,16,16767.6,,,,,,,,,,,,
15,25,7,1373.75,8,10990,,,,,,,,,,,,
15_1,25,7,1373.75,8,10990,,,,,,,,,,,,
16,10,0.4,31.4,168,5275.2,,,,,,,,,,,,
17,10,0.4,31.4,184,5777.6,,,,,,,,,,,,
18,20,24,3768,28,105504,,,,,,,,,,,,
19,20,29.3,4600.1,8,36800.8,,,,,,,,,,,,
20,20,0.45,70.65,48,3391.2,,,,,,,,,,,,
21,20,0.55,86.35,96,8289.6,,,,,,,,,,,,
22,10,1.4,109.9,32,3516.8,,,,,,,,,,,,
22_1,10,1.2,94.2,48,4521.6,,,,,,,,,,,,
23,15,0.4,47.1,80,3768,,,,,,,,,,,,
24,15,0.18,21.195,160,3391.2,,,,,,,,,,,,
25,20,0.2,31.4,320,10048,,,,,,,,,,,,
26,10,0.1,7.85,32,251.2,,,,,,,,,,,,
27,10,0.2,15.7,32,502.4,,,,,,,,,,,,
28,10,0.09,7.065,32,226.08,,,,,,,,,,,,
29,10,0.062,4.867,32,155.744,,,,,,,,,,,,
30,8,0.456,28.6368,32,916.3776,,,,,,,,,,,,
31,8,0.532,33.4096,32,1069.1072,,,,,,,,,,,,
32,10,0.2,15.7,32,502.4,,,,,,,,,,,,
,,,,,646051.6088,,,,,,,,,,,,
,,,,,646.0516088, ,,,,,,,,,,,
